Rewards,Factor rewards,Episode rewards
0.0,0.0,0.0
0.0,0.0,0.23115869568178143
0.0,,0.0
0.0,,0.0
0.0,,0.0
0.0,,0.0
0.0,,0.24705797561280635
0.0,,0.0
0.0,,0.0
0.0,,0.3524055132684409
0.0,,0.47945079722877554
0.0,,0.0
0.0,,0.0
0.0,,0.11748142821599582
0.0,,0.0
0.0,,0.17454066562991769
0.0,,0.0
0.0,,0.11415278984196256
0.0,,0.0
0.0,,0.0
0.0,,0.0
0.0,,0.0
0.0,,0.0
0.0,,0.05813376761521027
0.0,,0.0
0.0,,0.2932417980139962
0.0,,0.0
0.0,,0.0
0.0,,0.2209645894633277
0.0,,0.0
0.0,,0.0
0.0,,0.41216036881297796
0.0,,0.2580760443546033
0.0,,0.0
0.0,,0.2932417980139962
0.0,,0.0
0.0,,0.0
0.0,,0.23637625280357963
0.0,,0.060500403517544606
0.0,,0.7105566325371733
0.0,,0.0
0.0,,0.0
0.0,,0.0
0.0,,0.0
0.0,,0.0
0.0,,0.060500403517544606
0.0,,0.0
0.0,,0.0
0.0,,0.41216036881297796
0.0,,0.04478055543577833
0.0,,0.04478055543577833
0.0,,0.030917335736733522
0.0,,0.0
0.0,,0.0
0.0,,0.46187708899839114
0.0,,0.8007379544082897
0.0,,0.43646776899083806
0.0,,0.45328214365266406
0.0,,0.03664327734040417
0.0,,0.0
0.0,,0.5858427044532544
0.0,,0.12086566475432015
0.0,,0.8564224195159132
0.0,,0.2932417980139962
0.0,,0.0
0.0,,0.35948955219112333
0.0,,0.4975477294866701
0.0,,0.5451719468531661
0.0,,0.488433013120705
0.0,,0.24167565767306193
0.0,,0.6863961827366267
0.0,,0.5551197088064782
0.0,,0.0
0.0,,0.0
0.0,,0.5161819287499748
0.0,,0.6179264343918842
0.0,,0.7873008928218865
0.0,,0.04269079386227305
0.0,,0.40429531150477066
0.0,,0.24167565767306193
0.0,,0.31207291446830243
0.0,,0.17454066562991769
0.0,,0.6289327302485271
0.0,,0.5257049197562982
0.0,,0.8281878958625764
0.0,,0.5257049197562982
0.0,,0.6745721600183461
0.0,,0.5257049197562982
0.0,,0.16199329685685437
0.0,,0.8708403273662975
0.0,,0.15003730729610204
0.0,,0.3057000446511702
0.0,,0.3057000446511702
0.0,,0.0
0.0,,0.7354152721742481
0.0,,0.40429531150477066
0.0,,0.46187708899839114
0.0,,0.6400983741301648
0.0,,0.5858427044532544
0.0,,0.45328214365266406
0.0,,0.2209645894633277
0.0,,0.47945079722877554
0.0,,0.2209645894633277
